,time,open,high,low,close,adj Close,volume,CDL2CROWS,CDL3BLACKCROWS,CDL3INSIDE,CDL3LINESTRIKE,CDL3OUTSIDE,CDL3STARSINSOUTH,CDL3WHITESOLDIERS,CDLABANDONEDBABY,CDLADVANCEBLOCK,CDLBELTHOLD,CDLBREAKAWAY,CDLCLOSINGMARUBOZU,CDLCONCEALBABYSWALL,CDLCOUNTERATTACK,CDLDARKCLOUDCOVER,CDLDOJI,CDLDOJISTAR,CDLDRAGONFLYDOJI,CDLENGULFING,CDLEVENINGDOJISTAR,CDLEVENINGSTAR,CDLGAPSIDESIDEWHITE,CDLGRAVESTONEDOJI,CDLHAMMER,CDLHANGINGMAN,CDLHARAMI,CDLHARAMICROSS,CDLHIGHWAVE,CDLHIKKAKE,CDLHIKKAKEMOD,CDLHOMINGPIGEON,CDLIDENTICAL3CROWS,CDLINNECK,CDLINVERTEDHAMMER,CDLKICKING,CDLKICKINGBYLENGTH,CDLLADDERBOTTOM,CDLLONGLEGGEDDOJI,CDLLONGLINE,CDLMARUBOZU,CDLMATCHINGLOW,CDLMATHOLD,CDLMORNINGDOJISTAR,CDLMORNINGSTAR,CDLONNECK,CDLPIERCING,CDLRICKSHAWMAN,CDLRISEFALL3METHODS,CDLSEPARATINGLINES,CDLSHOOTINGSTAR,CDLSHORTLINE,CDLSPINNINGTOP,CDLSTALLEDPATTERN,CDLSTICKSANDWICH,CDLTAKURI,CDLTASUKIGAP,CDLTHRUSTING,CDLTRISTAR,CDLUNIQUE3RIVER,CDLUPSIDEGAP2CROWS,CDLXSIDEGAP3METHODS,previous_close,high-low,high-pc,low-pc,tr,atr,upperband,lowerband,in_uptrend,pattern,label
0,2015-07-10,52.444,52.599998,51.563999,51.830002,51.830002,13054500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0359989999999968,,,1.0359989999999968,,,,True,0,0
1,2015-07-13,52.450001,52.509998,51.209999,52.431999,52.431999,14801500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.830002,1.2999989999999997,0.6799960000000027,0.620002999999997,1.2999989999999997,,,,True,0,0
2,2015-07-14,52.419998,53.198002,52.102001,53.130001,53.130001,9538000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.431999,1.0960010000000011,0.7660030000000049,0.32999799999999624,1.0960010000000011,,,,True,1,0
3,2015-07-15,53.348,53.498001,52.416,52.627998,52.627998,10108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.130001,1.0820010000000053,0.3680000000000021,0.7140010000000032,1.0820010000000053,,,,True,0,0
4,2015-07-16,52.844002,53.439999,52.632,53.335999,53.335999,8080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.627998,0.8079990000000024,0.8120010000000022,0.004001999999999839,0.8120010000000022,,,,True,0,0
5,2015-07-17,54.5,55.108002,53.650002,54.931999,54.931999,25020500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.335999,1.4579999999999984,1.772002999999998,0.3140029999999996,1.772002999999998,,,,True,-1,0
6,2015-07-20,55.0,57.330002,54.507999,56.452,56.452,24892500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.931999,2.8220030000000023,2.3980030000000028,0.4239999999999995,2.8220030000000023,1.4171438571428578,60.17043207142857,51.66756892857142,True,0,0
7,2015-07-21,54.009998,54.700001,53.310001,53.354,53.354,30543500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.452,1.3900000000000006,1.7519989999999979,3.1419989999999984,3.1419989999999984,1.718001000000001,59.159004,51.66756892857142,True,0,0
8,2015-07-22,52.254002,53.888,52.172001,53.574001,53.574001,15525000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.354,1.7159989999999965,0.5339999999999989,1.1819989999999976,1.7159989999999965,1.777429571428572,58.36228921428572,51.66756892857142,True,0,0
9,2015-07-23,53.93,53.98,53.054001,53.439999,53.439999,11136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.574001,0.9259989999999974,0.4059989999999942,0.5200000000000031,0.9259989999999974,1.7531435714285715,58.77643121428571,51.66756892857142,True,0,0
10,2015-07-24,53.476002,54.217999,52.784,53.082001,53.082001,14182500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.439999,1.433999,0.7779999999999987,0.6559990000000013,1.433999,1.8034289999999993,58.911286499999996,51.66756892857142,True,0,0
11,2015-07-27,52.486,52.886002,50.158001,50.602001,50.602001,23471000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.082001,2.728000999999999,0.19599900000000048,2.9239999999999995,2.9239999999999995,2.1051431428571417,57.83743092857143,45.206572071428575,False,0,0
12,2015-07-28,51.150002,53.080002,50.368,52.964001,52.964001,19479000,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,50.602001,2.7120019999999982,2.478000999999999,0.23400099999999924,2.7120019999999982,2.239428714285713,57.83743092857143,45.00571485714286,False,2,-1
13,2015-07-29,52.854,53.577999,52.400002,52.764,52.764,13950500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,-100,-100,-100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,52.964001,1.1779969999999977,0.6139979999999952,0.5639990000000026,1.1779969999999977,2.0045707142857125,57.83743092857143,46.975288357142865,False,2,1
