,time,close,high,low,open,volumefrom,volumeto,candlestick_pattern,candlestick_match_count
0,2020-07-31,11323.466797,11415.864258,10987.053711,11110.210938,,,NO_PATTERN,0.0
1,2020-08-01,11759.592773,11794.775391,11239.682617,11322.570313,,,NO_PATTERN,0.0
2,2020-08-02,11053.614258,12034.144531,11018.129883,11758.764648,,,NO_PATTERN,0.0
3,2020-08-03,11246.348633,11453.079102,11012.415039,11043.768555,,,NO_PATTERN,0.0
4,2020-08-04,11205.892578,11385.381836,11094.145508,11246.203125,,,NO_PATTERN,0.0
5,2020-08-05,11747.022461,11786.617188,11158.285156,11203.823242,,,CDLHIKKAKE_Bear,2.0
6,2020-08-06,11779.773438,11902.335938,11598.713867,11749.871094,,,CDL3OUTSIDE_Bull,1.0
7,2020-08-07,11601.472656,11898.038086,11408.59375,11778.894531,,,CDLXSIDEGAP3METHODS_Bull,1.0
8,2020-08-08,11754.045898,11800.064453,11558.431641,11604.553711,,,NO_PATTERN,0.0
9,2020-08-09,11675.739258,11806.056641,11548.78418,11737.325195,,,NO_PATTERN,0.0
10,2020-08-10,11878.111328,12045.140625,11662.256836,11662.256836,,,CDLENGULFING_Bull,1.0
11,2020-08-11,11410.525391,11932.710938,11195.708984,11881.647461,,,CDLENGULFING_Bear,1.0
12,2020-08-12,11584.93457,11748.396484,11249.605469,11404.59668,,,NO_PATTERN,0.0
13,2020-08-13,11784.137695,11796.396484,11216.87207,11588.405273,,,NO_PATTERN,0.0
14,2020-08-14,11768.871094,12150.994141,11685.455078,11772.65918,,,CDLLONGLEGGEDDOJI_Bull,4.0
15,2020-08-15,11865.698242,11963.203125,11768.697266,11768.697266,,,CDLENGULFING_Bull,1.0
16,2020-08-16,11892.803711,11934.901367,11737.188477,11866.685547,,,CDL3OUTSIDE_Bull,6.0
17,2020-08-17,12254.402344,12359.056641,11806.696289,11895.658203,,,CDLHIKKAKE_Bull,1.0
18,2020-08-18,11991.233398,12335.707031,11954.525391,12251.895508,,,CDLCLOSINGMARUBOZU_Bear,1.0
19,2020-08-19,11758.283203,12028.923828,11687.333008,11990.884766,,,CDLBELTHOLD_Bear,2.0
20,2020-08-20,11878.37207,11900.411133,11710.063477,11761.5,,,CDLHARAMI_Bull,1.0
21,2020-08-21,11592.489258,11899.259766,11564.979492,11878.026367,,,CDLCLOSINGMARUBOZU_Bear,4.0
22,2020-08-22,11681.825195,11689.407227,11448.805664,11585.477539,,,CDLHAMMER_Bull,1.0
23,2020-08-23,11664.847656,11713.429688,11559.920898,11679.696289,,,CDLRICKSHAWMAN_Bull,8.0
24,2020-08-24,11774.595703,11807.631836,11623.25,11663.689453,,,CDLENGULFING_Bull,1.0
25,2020-08-25,11366.134766,11778.299805,11189.850586,11773.588867,,,CDLBELTHOLD_Bear,1.0
26,2020-08-26,11488.363281,11530.052734,11296.993164,11366.894531,,,CDLHARAMI_Bull,1.0
27,2020-08-27,11323.397461,11570.786133,11185.941406,11485.608398,,,NO_PATTERN,0.0
